code,sector,date,Ra
AMP.AX,Financials,2019-07-31,-0.1556603773584906
AMP.AX,Financials,2019-08-30,-0.05307262569832405
AMP.AX,Financials,2019-09-30,0.07669616519174038
AMP.AX,Financials,2019-10-31,0.005479452054794498
AMP.AX,Financials,2019-11-29,0.06539509536784749
AMP.AX,Financials,2019-12-31,-0.020460358056266004
AMP.AX,Financials,2020-01-31,-0.04699738903394257
AMP.AX,Financials,2020-02-28,-0.0821917808219178
AMP.AX,Financials,2020-03-31,-0.20298507462686577
AMP.AX,Financials,2020-04-17,0.09363295880149813
ANN.AX,Health Care,2019-04-30,0.029748292072534044
ANN.AX,Health Care,2019-05-31,-0.0655555850410463
ANN.AX,Health Care,2019-06-28,0.06420930351322762
ANN.AX,Health Care,2019-07-31,0.039106138426593606
ANN.AX,Health Care,2019-08-30,-0.00929538779646022
ANN.AX,Health Care,2019-09-30,0.005871506463110965
ANN.AX,Health Care,2019-10-31,0.006931836443920147
ANN.AX,Health Care,2019-11-29,0.07463766842413588
ANN.AX,Health Care,2019-12-31,-0.021240759613531668
ANN.AX,Health Care,2020-01-31,0.10368587099898807
ANN.AX,Health Care,2020-02-28,-0.06641301276437339
ANN.AX,Health Care,2020-03-31,-0.08141888513513518
ANN.AX,Health Care,2020-04-17,0.07723427446729403
APE.AX,Consumer Discretionary,2019-04-30,0.002309488698936768
APE.AX,Consumer Discretionary,2019-05-31,0.19239639320181157
APE.AX,Consumer Discretionary,2019-06-28,-0.0531400422300673
APE.AX,Consumer Discretionary,2019-07-31,0.14285695922435493
APE.AX,Consumer Discretionary,2019-08-30,0.10446443668532868
APE.AX,Consumer Discretionary,2019-09-30,0.1615120283662954
APE.AX,Consumer Discretionary,2019-10-31,-0.13924051650249458
APE.AX,Consumer Discretionary,2019-11-29,-0.20098032433412483
APE.AX,Consumer Discretionary,2019-12-31,0.04703476482617597
APE.AX,Consumer Discretionary,2020-01-31,-0.12890625
APE.AX,Consumer Discretionary,2020-02-28,-0.004484304932735328
APE.AX,Consumer Discretionary,2020-03-31,-0.6454896454896455
APE.AX,Consumer Discretionary,2020-04-17,0.3003300330033003
APA.AX,Utilities,2019-04-30,-0.0051705811472009255
APA.AX,Utilities,2019-05-31,0.05405407458014322
APA.AX,Utilities,2019-06-28,0.08963443781247338
APA.AX,Utilities,2019-07-31,0.022222176039838004
APA.AX,Utilities,2019-08-30,-0.0027174204337152563
APA.AX,Utilities,2019-09-30,0.040872003280983504
APA.AX,Utilities,2019-10-31,0.01657940569957783
APA.AX,Utilities,2019-11-29,-0.055794062075058104
APA.AX,Utilities,2019-12-31,0.029485579967657438
APA.AX,Utilities,2020-01-31,0.02072072072072073
APA.AX,Utilities,2020-02-28,-0.052074139452780166
APA.AX,Utilities,2020-03-31,-0.04469273743016766
APA.AX,Utilities,2020-04-17,0.08966861598440534
ADI.AX,Real Estate,2019-04-30,0.007067095126452427
ADI.AX,Real Estate,2019-05-31,-0.014035003547732905
ADI.AX,Real Estate,2019-06-28,0.04340044334501569
ADI.AX,Real Estate,2019-07-31,-0.010380672005596336
ADI.AX,Real Estate,2019-08-30,0.03146868208395115
ADI.AX,Real Estate,2019-09-30,-0.0055404015274117535
ADI.AX,Real Estate,2019-10-31,0.024221486820191762
ADI.AX,Real Estate,2019-11-29,-0.020270447857643092
ADI.AX,Real Estate,2019-12-31,0.018554075515430757
ADI.AX,Real Estate,2020-01-31,0.05841918364709531
ADI.AX,Real Estate,2020-02-28,-0.012986961279332854
ADI.AX,Real Estate,2020-03-31,-0.3075174028272114
ADI.AX,Real Estate,2020-04-17,0.029126213592232997
APX.AX,Information Technology,2019-04-30,0.012799976999056328
APX.AX,Information Technology,2019-05-31,0.02804113600745506
APX.AX,Information Technology,2019-06-28,0.07529773988883015
APX.AX,Information Technology,2019-07-31,0.09717752803669355
APX.AX,Information Technology,2019-08-30,-0.15630089078424603
APX.AX,Information Technology,2019-09-30,-0.18202073343671266
APX.AX,Information Technology,2019-10-31,0.03355394048859783
APX.AX,Information Technology,2019-11-29,0.11979881645849177
APX.AX,Information Technology,2019-12-31,-0.08289100120948745
APX.AX,Information Technology,2020-01-31,0.1286731558648131
APX.AX,Information Technology,2020-02-28,-0.18078032259543975
APX.AX,Information Technology,2020-03-31,-0.04971033058447549
APX.AX,Information Technology,2020-04-17,0.2554595096262313
ARB.AX,Consumer Discretionary,2019-04-30,-0.006030656421944891
ARB.AX,Consumer Discretionary,2019-05-31,0.027578477781867505
ARB.AX,Consumer Discretionary,2019-06-28,-0.023080875238122966
ARB.AX,Consumer Discretionary,2019-07-31,0.019230745413121753
ARB.AX,Consumer Discretionary,2019-08-30,0.014555225752949319
ARB.AX,Consumer Discretionary,2019-09-30,0.012220953852640104
ARB.AX,Consumer Discretionary,2019-10-31,-0.03886403991746035
ARB.AX,Consumer Discretionary,2019-11-29,0.04914411587216594
ARB.AX,Consumer Discretionary,2019-12-31,-0.01210530610895122
ARB.AX,Consumer Discretionary,2020-01-31,-0.00905696561848468
ARB.AX,Consumer Discretionary,2020-02-28,-0.07795703391912479
ARB.AX,Consumer Discretionary,2020-03-31,-0.16676385260009996
ARB.AX,Consumer Discretionary,2020-04-17,0.06944575052043289
ALG.AX,Consumer Discretionary,2019-04-30,-0.022900763358778664
ALG.AX,Consumer Discretionary,2019-05-31,-0.05859375
ALG.AX,Consumer Discretionary,2019-06-28,-0.12863070539419086
ALG.AX,Consumer Discretionary,2019-07-31,0.11904761904761907
ALG.AX,Consumer Discretionary,2019-08-30,-0.12340425531914889
ALG.AX,Consumer Discretionary,2019-09-30,-0.058252427184466105
ALG.AX,Consumer Discretionary,2019-10-31,0.23711340206185572
ALG.AX,Consumer Discretionary,2019-11-29,-0.02083333333333326
ALG.AX,Consumer Discretionary,2019-12-31,0.1063829787234043
ALG.AX,Consumer Discretionary,2020-01-31,0.08846153846153837
ALG.AX,Consumer Discretionary,2020-02-28,-0.3639575971731449
ALG.AX,Consumer Discretionary,2020-03-31,-0.7666666666666667
ALG.AX,Consumer Discretionary,2020-04-17,0.9047619047619049
ARF.AX,Real Estate,2019-04-30,0.04642839010076161
ARF.AX,Real Estate,2019-05-31,-0.06143335402774219
ARF.AX,Real Estate,2019-06-28,0.008476079216229504
ARF.AX,Real Estate,2019-07-31,0.036496301204769654
ARF.AX,Real Estate,2019-08-30,0.003521086085753744
ARF.AX,Real Estate,2019-09-30,0.016166640646751995
ARF.AX,Real Estate,2019-10-31,0.05944073767799107
ARF.AX,Real Estate,2019-11-29,-0.0231022969978375
ARF.AX,Real Estate,2019-12-31,-0.02518644591871222
ARF.AX,Real Estate,2020-01-31,0.08421052631578929
ARF.AX,Real Estate,2020-02-28,-0.029126213592232997
ARF.AX,Real Estate,2020-03-31,-0.43499999999999994
ARF.AX,Real Estate,2020-04-17,0.3392330383480826
ALL.AX,Consumer Discretionary,2019-04-30,3.835904621487529e-4
ALL.AX,Consumer Discretionary,2019-05-31,0.12490270046279672
ALL.AX,Consumer Discretionary,2019-06-28,0.054944958898833995
ALL.AX,Consumer Discretionary,2019-07-31,-0.002278601783376577
ALL.AX,Consumer Discretionary,2019-08-30,-0.029363808855479734
ALL.AX,Consumer Discretionary,2019-09-30,0.028571452820635113
ALL.AX,Consumer Discretionary,2019-10-31,0.03333338064173752
ALL.AX,Consumer Discretionary,2019-11-29,0.0834439721766973
ALL.AX,Consumer Discretionary,2019-12-31,-0.007370283453436488
ALL.AX,Consumer Discretionary,2020-01-31,0.07514116870455423
ALL.AX,Consumer Discretionary,2020-02-28,-0.08535911366411297
ALL.AX,Consumer Discretionary,2020-03-31,-0.35517972349200466
ALL.AX,Consumer Discretionary,2020-04-17,0.10538641686182659
AHY.AX,Consumer Staples,2019-04-30,-0.005404423902278022
AHY.AX,Consumer Staples,2019-05-31,-0.04891407175789919
AHY.AX,Consumer Staples,2019-06-28,0.034286472130026
AHY.AX,Consumer Staples,2019-07-31,0.07182361456516095
AHY.AX,Consumer Staples,2019-08-30,0.005153697943558022
AHY.AX,Consumer Staples,2019-09-30,0
AHY.AX,Consumer Staples,2019-10-31,-0.020512226213929785
AHY.AX,Consumer Staples,2019-11-29,0.07329786009388473
AHY.AX,Consumer Staples,2019-12-31,0.03414708750687723
AHY.AX,Consumer Staples,2020-01-31,0.018867362833014267
AHY.AX,Consumer Staples,2020-02-28,-0.02777743741805838
AHY.AX,Consumer Staples,2020-03-31,-0.02084153338154804
AHY.AX,Consumer Staples,2020-04-17,0.034653465346534684
ASX.AX,Financials,2019-04-30,0.023070470790973907
ASX.AX,Financials,2019-05-31,0.01677854054227912
ASX.AX,Financials,2019-06-28,0.08739280451188192
ASX.AX,Financials,2019-07-31,0.07866934842300277
ASX.AX,Financials,2019-08-30,-0.028587493861489177
ASX.AX,Financials,2019-09-30,-0.046312912361103464
ASX.AX,Financials,2019-10-31,0.01541873448801101
ASX.AX,Financials,2019-11-29,-0.007410052208888573
ASX.AX,Financials,2019-12-31,-0.040386671957222564
ASX.AX,Financials,2020-01-31,0.09259006809168513
ASX.AX,Financials,2020-02-28,-0.13458613894094018
ASX.AX,Financials,2020-03-31,0.056401959966269066
ASX.AX,Financials,2020-04-17,0.0766636957666984
ALX.AX,Industrials,2019-04-30,-0.01547041562997542
ALX.AX,Industrials,2019-05-31,0.011428558749262407
ALX.AX,Industrials,2019-06-28,0.10734429564094916
ALX.AX,Industrials,2019-07-31,0.04464333356050432
ALX.AX,Industrials,2019-08-30,0.03785040584620836
ALX.AX,Industrials,2019-09-30,-0.06452291170398894
ALX.AX,Industrials,2019-10-31,0.029487753805123473
ALX.AX,Industrials,2019-11-29,-0.03232661569831863
ALX.AX,Industrials,2019-12-31,0.0235294117647058
ALX.AX,Industrials,2020-01-31,0.03831417624521083
ALX.AX,Industrials,2020-02-28,-0.013530135301353163
ALX.AX,Industrials,2020-03-31,-0.31296758104738154
ALX.AX,Industrials,2020-04-17,0.10707803992740472
AUB.AX,Financials,2019-04-30,-0.0015797128943498828
AUB.AX,Financials,2019-05-31,-0.07436718912782225
AUB.AX,Financials,2019-06-28,-0.10769226255713771
AUB.AX,Financials,2019-07-31,0.13984668393558852
AUB.AX,Financials,2019-08-30,-0.062184816069029036
AUB.AX,Financials,2019-09-30,0.0773355563190028
AUB.AX,Financials,2019-10-31,0.057363029697748535
AUB.AX,Financials,2019-11-29,-0.039676214194724224
AUB.AX,Financials,2019-12-31,0.010961244912238266
AUB.AX,Financials,2020-01-31,0.08090073523214913
AUB.AX,Financials,2020-02-28,0.07175933343828
AUB.AX,Financials,2020-03-31,-0.29360929566517624
AUB.AX,Financials,2020-04-17,0.044284243048403615
AIA.AX,Industrials,2019-04-30,0.010709516915876183
AIA.AX,Industrials,2019-05-31,0.091390729021032735
AIA.AX,Industrials,2019-06-28,0.13106798370472217
AIA.AX,Industrials,2019-07-31,-0.037553661996849286
AIA.AX,Industrials,2019-08-30,0.005574171093644997
AIA.AX,Industrials,2019-09-30,-0.05764961555115122
AIA.AX,Industrials,2019-10-31,0.02185111693502617
AIA.AX,Industrials,2019-11-29,0
AIA.AX,Industrials,2019-12-31,-0.008158459039485422
AIA.AX,Industrials,2020-01-31,-0.019976548449872844
